
epoch    batch             time    (avg time)        loss   (avg loss)    GAP score   (avg score)
---------------------------------------------------------------------------------------------------------
1     |  [0/23828]	|| 0.669 | (0.669)	|| 11.1539 | (11.1539)	|| 0.0000   |   (0.0000)	||
1     |  [10/23828]	|| 0.067 | (0.153)	|| 11.1244 | (11.0969)	|| 0.0000   |   (0.0000)	||
1     |  [20/23828]	|| 0.240 | (0.137)	|| 11.0699 | (11.1078)	|| 0.0000   |   (0.0000)	||
1     |  [30/23828]	|| 0.068 | (0.128)	|| 11.0979 | (11.1063)	|| 0.0000   |   (0.0000)	||
1     |  [40/23828]	|| 0.236 | (0.126)	|| 11.0476 | (11.1081)	|| 0.0000   |   (0.0000)	||
1     |  [50/23828]	|| 0.068 | (0.121)	|| 11.1466 | (11.1115)	|| 0.0000   |   (0.0000)	||
1     |  [60/23828]	|| 0.249 | (0.121)	|| 11.1059 | (11.1108)	|| 0.0000   |   (0.0000)	||
1     |  [70/23828]	|| 0.067 | (0.118)	|| 11.0449 | (11.1067)	|| 0.0000   |   (0.0000)	||
1     |  [80/23828]	|| 0.225 | (0.118)	|| 11.1564 | (11.1076)	|| 0.0000   |   (0.0000)	||
1     |  [90/23828]	|| 0.068 | (0.117)	|| 11.1736 | (11.1056)	|| 0.0000   |   (0.0000)	||
1     |  [100/23828]	|| 0.213 | (0.117)	|| 11.1073 | (11.1070)	|| 0.0000   |   (0.0000)	||
1     |  [110/23828]	|| 0.066 | (0.116)	|| 11.1385 | (11.1081)	|| 0.0000   |   (0.0000)	||
1     |  [120/23828]	|| 1.057 | (0.143)	|| 11.1036 | (11.1081)	|| 0.0000   |   (0.0000)	||
1     |  [130/23828]	|| 0.746 | (0.175)	|| 11.1417 | (11.1080)	|| 0.0000   |   (0.0000)	||
1     |  [140/23828]	|| 0.400 | (0.210)	|| 11.1515 | (11.1112)	|| 0.0000   |   (0.0000)	||
1     |  [150/23828]	|| 0.996 | (0.237)	|| 11.1390 | (11.1122)	|| 0.0000   |   (0.0000)	||
1     |  [160/23828]	|| 0.137 | (0.261)	|| 11.0736 | (11.1101)	|| 0.0000   |   (0.0000)	||
1     |  [170/23828]	|| 0.923 | (0.282)	|| 11.1292 | (11.1106)	|| 0.0000   |   (0.0000)	||
1     |  [180/23828]	|| 0.063 | (0.300)	|| 11.1484 | (11.1109)	|| 0.0000   |   (0.0000)	||
1     |  [190/23828]	|| 0.370 | (0.315)	|| 11.0377 | (11.1107)	|| 0.0000   |   (0.0000)	||
1     |  [200/23828]	|| 0.092 | (0.335)	|| 11.0816 | (11.1096)	|| 0.0000   |   (0.0000)	||
1     |  [210/23828]	|| 0.062 | (0.345)	|| 11.0401 | (11.1071)	|| 0.0000   |   (0.0000)	||
1     |  [220/23828]	|| 0.250 | (0.358)	|| 10.7337 | (11.1033)	|| 0.0000   |   (0.0000)	||
1     |  [230/23828]	|| 0.057 | (0.363)	|| 11.1990 | (11.0816)	|| 0.0000   |   (0.0031)	||
1     |  [240/23828]	|| 0.062 | (0.379)	|| 11.1378 | (11.0835)	|| 0.0000   |   (0.0030)	||
1     |  [250/23828]	|| 0.059 | (0.385)	|| 11.1048 | (11.0860)	|| 0.0000   |   (0.0029)	||
1     |  [260/23828]	|| 0.065 | (0.398)	|| 11.0502 | (11.0859)	|| 0.0000   |   (0.0028)	||
1     |  [270/23828]	|| 0.062 | (0.403)	|| 11.0943 | (11.0862)	|| 0.0000   |   (0.0027)	||
1     |  [280/23828]	|| 0.607 | (0.413)	|| 11.0664 | (11.0868)	|| 0.0000   |   (0.0026)	||
1     |  [290/23828]	|| 0.056 | (0.417)	|| 11.1663 | (11.0880)	|| 0.0000   |   (0.0025)	||
1     |  [300/23828]	|| 0.056 | (0.426)	|| 11.1132 | (11.0872)	|| 0.0000   |   (0.0024)	||
1     |  [310/23828]	|| 0.056 | (0.429)	|| 11.0572 | (11.0873)	|| 0.0000   |   (0.0023)	||
1     |  [320/23828]	|| 0.062 | (0.441)	|| 10.8389 | (11.0866)	|| 0.0000   |   (0.0023)	||
