frame_id,filename,objects
27,0013dae8a764c6f1,"[{'class_name': 'Land vehicle', 'realtive_size': 0.028023100686000002, 'confidence_val': 0.404382}, {'class_name': 'Vehicle', 'realtive_size': 0.028023100686000002, 'confidence_val': 0.842176}, {'class_name': 'Car', 'realtive_size': 0.028023100686000002, 'confidence_val': 0.291615}, {'class_name': 'Building', 'realtive_size': 0.53332099908, 'confidence_val': 0.682886}]"
28,00141b8a5a729084,"[{'class_name': 'Land vehicle', 'realtive_size': 0.027063816788, 'confidence_val': 0.596124}, {'class_name': 'Vehicle', 'realtive_size': 0.027063816788, 'confidence_val': 0.778552}, {'class_name': 'Car', 'realtive_size': 0.027063816788, 'confidence_val': 0.594756}, {'class_name': 'Building', 'realtive_size': 0.031509863, 'confidence_val': 0.391191}, {'class_name': 'Plant', 'realtive_size': 0.07946581675, 'confidence_val': 0.306536}, {'class_name': 'Person', 'realtive_size': 0.013267359216, 'confidence_val': 0.258482}]"
33,00170eb69e4dc6df,"[{'class_name': 'Building', 'realtive_size': 0.126338710568, 'confidence_val': 0.476253}]"
55,00234bc550bb27de,"[{'class_name': 'Building', 'realtive_size': 0.10600178868599999, 'confidence_val': 0.264769}, {'class_name': 'Plant', 'realtive_size': 0.06270055257000001, 'confidence_val': 0.429244}, {'class_name': 'Tree', 'realtive_size': 0.06270055257000001, 'confidence_val': 0.401699}, {'class_name': 'Plant', 'realtive_size': 0.015796536368, 'confidence_val': 0.339703}, {'class_name': 'Tree', 'realtive_size': 0.015796536368, 'confidence_val': 0.328118}]"
60,002426d29483bc22,"[{'class_name': 'Building', 'realtive_size': 0.6018338502989999, 'confidence_val': 0.385485}, {'class_name': 'Building', 'realtive_size': 0.063169855925, 'confidence_val': 0.31637}, {'class_name': 'Plant', 'realtive_size': 0.360265868949, 'confidence_val': 0.451694}, {'class_name': 'Tree', 'realtive_size': 0.360265868949, 'confidence_val': 0.269327}]"
77,002ae667a134dcf7,"[{'class_name': 'Building', 'realtive_size': 0.24008543374, 'confidence_val': 0.255275}]"
98,0037920254a42dd6,"[{'class_name': 'Building', 'realtive_size': 0.5381299748899999, 'confidence_val': 0.3898}]"
100,0038442a8ff9bb14,"[{'class_name': 'Building', 'realtive_size': 0.562221828399, 'confidence_val': 0.593134}]"
126,0044d82ea7654ece,"[{'class_name': 'Building', 'realtive_size': 0.969471373404, 'confidence_val': 0.549386}]"
128,0045037fa5352ecf,"[{'class_name': 'Building', 'realtive_size': 0.8722203983069999, 'confidence_val': 0.532517}]"
136,004b8a24fa66bf03,"[{'class_name': 'Building', 'realtive_size': 1.203887388279, 'confidence_val': 0.454332}]"
138,004be8bf57497852,"[{'class_name': 'Sculpture', 'realtive_size': 0.60543153072, 'confidence_val': 0.660482}]"
140,004db26a9df69e80,"[{'class_name': 'Person', 'realtive_size': 0.9325559935999999, 'confidence_val': 0.565696}, {'class_name': 'Sculpture', 'realtive_size': 0.9325559935999999, 'confidence_val': 0.653391}]"
158,0053680fc964c159,"[{'class_name': 'Building', 'realtive_size': 0.5549051577299999, 'confidence_val': 0.621581}]"
198,006c60cb820ffb98,"[{'class_name': 'Building', 'realtive_size': 0.24507081, 'confidence_val': 0.289691}]"
199,006c826aa05bbaef,"[{'class_name': 'Building', 'realtive_size': 0.236482473385, 'confidence_val': 0.290755}, {'class_name': 'Person', 'realtive_size': 0.48974878826999996, 'confidence_val': 0.313359}, {'class_name': 'Person', 'realtive_size': 0.00355680126, 'confidence_val': 0.308458}, {'class_name': 'Person', 'realtive_size': 0.006654809700000001, 'confidence_val': 0.303736}, {'class_name': 'Person', 'realtive_size': 0.013567565691, 'confidence_val': 0.303046}, {'class_name': 'Person', 'realtive_size': 0.007197051056, 'confidence_val': 0.251242}]"
217,0075af136c2416f3,"[{'class_name': 'Building', 'realtive_size': 0.9014023863, 'confidence_val': 0.322439}]"
221,0077dc1e820dec52,"[{'class_name': 'Building', 'realtive_size': 0.8475659972080001, 'confidence_val': 0.600965}]"
242,008428f8ea2d71fd,"[{'class_name': 'Building', 'realtive_size': 0.850955579518, 'confidence_val': 0.482056}]"
