,index,id,landmarks
14,1137,8556c1fff8acaeef,123095
19,1903,ea7874b8344404de,97343
24,2361,718b53cf1cc666f0,193942
26,2724,ca1ee60f27d4766d,170235
31,3365,0c3db1c240e7bdc8,3092
32,3381,c0be274e9392700a,181291
46,4198,fc641e3d6050cce8,51875
48,4375,2053d4abfe434e9a,165596
62,5152,57658db6a73e571c,3232
67,5414,f77687b83ee5482f,4072
68,5416,ffb08958f4e67f61,129857
70,5478,10bbd05f5b499c5e,112536
73,5505,e742ab8d6291da5f,110477
83,5971,7f15d65c538fd83b,62916
88,6401,47febf77c69fda64,170595
89,6414,2c14d790ff48bc36,21613
90,6519,d40ceee06114e1e7,108146
97,6820,ecfdb1b59d7774fd,132969
100,6884,de534f06708b38e4,47378
106,7556,9d8a8e370b17bc47,102375
117,8291,95a96d0a481d9893,159618
119,8364,7d97257fba9ecc5c,30029
131,9363,fde4d840e5f7ae90,23777
135,9967,0389bc4066eb452f,113600
136,9978,c02fce88ef41629d,92911
137,9985,d4c9323713c55f68,102375
147,10986,748f774a1e1ff391,20343
148,11003,b9bb07dd9d362de8,150591
153,11485,fe79139bb1a2fd99,47378
155,11600,4a781b3efdb1d3a6,124145
156,11986,416457a7ffda1077,179453
157,11993,87898f86372bb7fd,190638
167,12913,388f916bfa2a2648,200097
169,13030,871a896cf124a43f,146388
175,13586,b664dae002e91b13,85699
188,14712,417ca545b169e87f,142296
200,15816,0ff22436452d101e,7223
208,16304,82fbde82f1d78fd0,138626
210,16431,6a56807b3e784b07,179453
231,17678,3a27592e61bad5e2,86283
233,17802,48580d2a08580ae5,75005
239,18072,7f9d4a905c62aa8f,165596
240,18096,32019344e327f976,184268
248,19138,a65c1aeccc72fe65,138820
256,19682,523398f80595aabd,161396
260,20270,e05d5cde6db781ba,108146
262,20371,2fdd4c0bd86a959f,5522
266,20799,d6efcafc7d3cb50c,198916
278,21233,e838ce9ed4699795,93106
279,21330,7e12bab9457f9600,164147
281,21493,24c534d91f9d7ee5,96455
282,21625,068950f9fdb1145c,83504
285,21855,189d27f1dbad502c,33636
286,22005,f6b129ea0a00f89b,28604
290,22285,cb6f80060b11d169,6190
298,22847,986538ac213f2943,117640
302,23115,eb7454d734ccf70f,141495
307,23274,108533d9e0c65f59,185558
318,23765,9ba98c75e3848093,169021
337,25093,1430d2300e3757de,55985
342,26113,3931878e458fe8e8,102375
355,27205,5aed7c314f958601,13975
358,27591,4b3b23d082098934,135993
360,27692,a91dad4c83259255,33636
361,27872,3232c7cd906730a3,35910
364,28424,be4baf42da3b0d36,39334
366,28511,7d634cc679371625,134784
368,28541,93df4535ebabebb9,105914
373,29249,d053a13a27cce1ec,94881
374,29350,54a4db33f7363d29,184268
378,29498,d42f184ea786e9aa,4072
379,29743,db99c0222b8eca8d,76260
384,30185,784d4e8bab582f2d,2586
385,30343,929bccf38554d9ee,24958
388,30556,e66bde006421714b,95628
396,31260,0044d82ea7654ece,22363
399,31349,3235b2d1a854f4f1,189232
401,31414,ba026f6c8569900b,117493
403,31512,fcb7c2c0d9f65370,151635
407,31875,45681411185f7bad,41270
411,32029,9f6871ddea77eab2,200097
417,32473,43d67fcb41e0323a,170670
419,32503,4def0a7f848e6907,39187
429,32956,d886922b96aa98eb,169021
435,33288,4a44fc03d4c83fcc,13975
445,33951,e4f9041bb2e9515c,123095
447,34010,6a4d13988051ac6e,67853
458,34846,f832860c32f2b04e,165596
461,35000,426925fbb0f3b731,3092
470,35873,37549d3886905320,17716
473,36063,ce05dbdb084368ea,9771
489,37310,0cc77de7ae2ff9eb,108146
512,38559,c29370884d8f3a67,95841
513,38669,f176e0fe5888f2d4,39334
514,38753,0b379a8d06ac425f,44991
517,38944,aeca3e35bce2fa7d,75871
519,38989,7e77ce1f29338f90,18679
528,39377,8537cf851c79b96b,122610
532,39771,5b33dec7a48f7292,45221
534,39891,279855baeabc9386,6720
536,40059,c01d128612ec2a42,14051
539,40266,e81e898e83a2b5ad,122228
548,40503,5eeb70c23801e16d,39334
552,40702,063f875880dd09c5,159618
553,40828,feabe9fbe94e8d4f,75005
564,41828,1fdedb545054c992,23777
576,43349,f89919387a8f06bc,23777
580,43752,c57be9f2b41c51ab,151271
584,44139,ac6eeda01853c434,142296
593,45009,4ea439dd013becc6,8078
606,45458,76f6a1ad75de0c8d,4072
622,46537,bcd606af2662652b,134784
623,46567,651297693f0eac0a,192223
625,46821,57cb4bac366d8fa0,112793
632,47361,cb1746bd3e7d53a7,33636
638,47765,3cd278edcf9335ba,161396
639,47829,9f5a43e194b2dadf,112793
646,48337,945b1f36d7a6505a,112793
647,48390,1378e2479baca9a1,39334
648,48399,157d1c9628d1492c,114046
663,49620,5ffd474f62502596,112793
677,50578,4f9f419ab6905bd8,33636
687,51142,1112e94d6ea56fdc,73323
695,51747,777f9efff0fc6b81,119780
698,51942,1f6c5f464af0390f,117635
708,53046,470cbb836febde0c,3092
715,53698,8982b9bdab72d897,44991
748,55586,bdcb1545f95a11e8,6798
764,56462,b03d5c2aad310c37,132860
769,56743,60d78cb47c687aec,18679
770,56768,68b14741276ac2ea,39650
773,56941,8d9cbabc1fd03520,102621
780,57433,f38e551406444d1c,10934
787,57951,0af78c566709ed7f,129857
805,59057,40e7309ec29e9d3a,83504
815,59549,09350dd2a24acc46,168856
817,59762,737992c0d5ede016,76260
820,60174,af2264d29344b46b,182537
826,60417,9141062f82be8f54,93957
832,60702,dd9c17401bf3a515,127084
834,60826,4ab9c7341be1288c,67352
835,60846,0b0b516e65cf2d91,184268
837,61019,49b38202fa65f28e,23777
843,61640,48611fb93d554db7,161213
848,62248,67e8022fb639bea7,51176
871,64112,bb59232ac04865fa,6190
873,64309,f4393f8f69d09a81,135591
874,64391,2c81b8a750b68364,15688
883,64980,3cee44a0b9aebfa5,94881
910,66251,e95f9754443713c8,117640
912,66359,6fc2e1f2fd1d8d9b,77298
914,66545,3c15af1963f1c431,76260
921,66919,684a3bd2f0819e02,108146
927,67094,67825ea49a77054c,171603
933,67738,15ae471a04c8010c,170084
937,68020,759e2e5c3c634d1a,133679
938,68027,e8e62a3e45c0bfbb,135591
940,68235,e4257519e162bc8b,122610
952,68967,d9b75e66855bd4bc,99515
955,69069,0289a20454afe4d2,141495
957,69200,857906b73d4fbc65,23777
965,69871,947e9df54b40406b,24968
973,70502,6475a7fc3b4e56ab,169083
982,70919,f39adf8f775ea394,141495
983,70942,3ecf0b5b3f039169,171044
987,71179,0978cf3481bfbdd4,169083
991,71459,00d5b448fa93e1b8,4465
993,71541,53f03f375a18652e,159618
1004,72335,b5c94bd502a8372b,123095
1007,72526,668c3b59b9d1c9ca,46442
1018,73244,86fdc0d03a753ae0,151635
1020,73468,33098e79ad2aaa98,8078
1031,74136,025e21ed9fe16090,102621
1032,74150,2d1542b5a4145970,33636
1033,74296,a53bf4b12a19c2bd,4465
1042,74874,1f074e38d54387a3,124675
1060,76055,a93cb07ef50b854f,21232
1067,76472,24360cfaaf424a94,22363
1068,76522,fafe2b4e7883721a,20343
1077,77142,72f6a7d79e1e5234,161396
1079,77301,c28caf0c648dcab3,181959
1086,77915,f6b904fafeb29ad6,167679
1107,79235,ff265c261eb01c6c,95067
1112,79388,25d3b8fb0b26af0b,39187
1115,79504,d1fa0bc41c5dcb68,73323
1126,79929,3935c308d0168bad,107743
1133,80621,43f8fc9d911d44a7,142296
1139,80725,3297224220825ffe,142296
1140,80836,d0286eb23e686b38,3870
1142,80884,96aa16405b53adb6,196358
1143,80906,ef7e93dfbd134be8,176507
1153,81398,d442fa048953d84a,4465
1161,81711,70e4d5914222a174,128647
1164,81979,95033f52bcce8a71,123095
1167,82140,96bf7d4d1e928e7e,122610
1170,82756,9d09cd3ded19defd,83504
1182,83902,923424a03dbb7efb,102375
1187,84120,28bfc144134bdba7,76260
1200,84911,f7c644d450009a9e,59637
1212,86235,9cfd9b1ece3e55a6,31880
1215,86369,e9092dc3ebe645b3,3092
1223,87098,1a770f44a04e3f9b,93106
1224,87323,5f1c08a01ec523d1,160426
1226,87486,9947623773a7ffc3,65818
1234,88044,efa0946d672d2849,113600
1236,88110,78ae45524b47b5bc,135591
1238,88454,45ef9499a5286490,115482
1253,89366,ebd7310f6470443d,51258
1255,89508,ddda3e906a6fe207,189232
1269,90350,142511dbe915e4c9,171603
1270,90368,bc22bc3669269fb3,158966
1279,90868,12f5478487b1dd92,71038
1284,91187,d438a2b795c2a9ff,161292
1285,91305,432b9d4c8a761910,168203
1289,91853,fbf86c3adecdb989,22363
1290,91856,75424b6d1b857e26,76502
1296,92504,114a2315b391522f,188549
1300,93017,57d2f1f029cec012,47378
1305,93120,63cd6c6db0a582e2,136844
1315,93679,6e99a7b3e5b603e9,138626
1330,95062,9980e3ef9d0703b0,185158
1331,95214,09777418eb3c6c5c,77405
1336,95647,b62607952ce61290,200097
1337,96128,027a19e10127d5c4,135993
1341,96476,9a9a11a2a95ad3bc,16325
1345,96799,35c6d7ea9379ea13,141495
1346,96927,f9ca759ca45c33dd,197779
1347,96950,88a84946fbf5d389,4072
1365,98219,8dfe2934c0b86c5d,89672
1374,98984,620f1065b5b1999b,86283
1389,100527,f6ba469f0defb279,59637
1392,100714,7f9615b89be44d8f,200608
1396,101000,d83c8079a952503d,164147
1402,101245,6aaded2b1e1e1a40,138626
1404,101392,7d40f3c71fbd987a,145303
1405,101393,1a920212f8211488,74275
1408,101657,cd63d8a55ba5d3df,94054
1411,102049,ae77760b8da64f6b,102400
1425,103176,20102c7c47e641f2,114046
1429,103503,2260d2c938c2adb2,6798
1430,103566,be4ed48930fb79a8,45639
1431,103762,a481dd37644cb7d8,150591
1434,104160,e8498b30ed675b60,44991
1437,104463,36fa1234e296f5a5,166831
1438,104571,b831a55d487de41d,8078
1442,104884,59c11e9d74500be5,46717
1443,104921,53f3c77732e60f27,21613
1445,105187,37019158730d2597,92607
1452,105943,f95a58e099db6d9b,33636
