,id,0,1,2,3,4
14,8556c1fff8acaeef,123095,123095,123095,123095,123095
19,ea7874b8344404de,97343,97343,97343,97343,97343
24,718b53cf1cc666f0,193942,7346,195416,147313,116485
26,ca1ee60f27d4766d,170235,96802,110469,107801,98717
31,0c3db1c240e7bdc8,3092,3092,3092,55007,105348
32,c0be274e9392700a,181291,12015,181291,94764,181291
46,fc641e3d6050cce8,51875,120365,55766,121517,65465
48,2053d4abfe434e9a,165596,165596,165596,165596,102400
62,57658db6a73e571c,3232,198880,186453,8622,202508
67,f77687b83ee5482f,4072,162486,95594,194620,136698
68,ffb08958f4e67f61,129857,60551,129857,79947,902
70,10bbd05f5b499c5e,112536,67480,3531,67480,77296
73,e742ab8d6291da5f,110477,110477,34606,110477,110477
83,7f15d65c538fd83b,62916,168570,133833,97976,99133
88,47febf77c69fda64,170595,169507,70298,101043,11356
89,2c14d790ff48bc36,21613,21613,21613,21613,21613
90,d40ceee06114e1e7,108146,108146,14921,108146,131176
97,ecfdb1b59d7774fd,132969,132969,63261,140518,22077
100,de534f06708b38e4,47378,18679,47378,47378,47378
106,9d8a8e370b17bc47,102375,102375,102375,102375,102375
117,95a96d0a481d9893,159618,36947,173998,131095,58096
119,7d97257fba9ecc5c,30029,25718,116989,76793,116989
131,fde4d840e5f7ae90,23777,23777,23777,23777,23777
135,0389bc4066eb452f,113600,46442,58906,99856,58906
136,c02fce88ef41629d,92911,139380,110375,92911,92911
137,d4c9323713c55f68,102375,102375,102375,102375,102375
147,748f774a1e1ff391,20343,20343,20343,20343,65871
148,b9bb07dd9d362de8,150591,150591,150591,150591,150591
153,fe79139bb1a2fd99,47378,18679,47378,47378,47378
155,4a781b3efdb1d3a6,124145,164482,93943,67786,126359
156,416457a7ffda1077,179453,172660,88674,81918,179453
157,87898f86372bb7fd,190638,163363,40111,3759,90485
167,388f916bfa2a2648,200097,200097,172522,58513,200097
169,871a896cf124a43f,146388,950,129973,151757,78151
175,b664dae002e91b13,85699,81731,18855,18855,47035
188,417ca545b169e87f,142296,142296,142296,142296,142296
200,0ff22436452d101e,7223,7223,7223,159219,160368
208,82fbde82f1d78fd0,138626,138626,138626,138626,173825
210,6a56807b3e784b07,179453,179453,179453,29239,171689
231,3a27592e61bad5e2,86283,174877,39855,112457,122557
233,48580d2a08580ae5,75005,84939,84939,97345,84939
239,7f9d4a905c62aa8f,165596,106128,165596,183839,165596
240,32019344e327f976,184268,21738,73582,137539,122574
248,a65c1aeccc72fe65,138820,26163,80801,144300,138820
256,523398f80595aabd,161396,75631,161770,161396,96365
260,e05d5cde6db781ba,108146,108146,90504,108146,86917
262,2fdd4c0bd86a959f,5522,143112,130134,132615,96747
266,d6efcafc7d3cb50c,198916,198916,198916,198916,198916
278,e838ce9ed4699795,93106,93106,93106,188352,127765
279,7e12bab9457f9600,164147,62837,34244,115317,164147
281,24c534d91f9d7ee5,96455,92275,39503,92933,65438
282,068950f9fdb1145c,83504,83504,83504,83504,83504
285,189d27f1dbad502c,33636,33636,33636,33636,33636
286,f6b129ea0a00f89b,28604,28604,40605,124745,180901
290,cb6f80060b11d169,6190,6190,6190,6190,6190
298,986538ac213f2943,117640,117640,77106,47910,185808
302,eb7454d734ccf70f,141495,55572,191515,175018,194583
307,108533d9e0c65f59,185558,79162,40448,49804,68560
318,9ba98c75e3848093,169021,169021,8749,90025,64792
337,1430d2300e3757de,55985,55985,55985,55985,193559
342,3931878e458fe8e8,102375,102375,102375,102375,102375
